Project,Date,User,Activity,Issue,Comment,Hours,Sequencing
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-16,Rainbow Dash,Development,Task #291958: Präsentation für Meeting,Präsentation erstellt,0.75,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-16,Rainbow Dash,Design,Task #287381: Weiterführung Entwürfe,Entwurf erweitert und möglichen Benutzervorgang simuliert.,12.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-15,Applejack,Development,Task #233102: Libov,"21-23 Uhr; Background-Image setzen (per FileUpload), Bugfixing (Kontextmenü; Hintergrundbild, ...); akt. Problem: Hintergrundbild soll nach Import immer noch verfügbar sein",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-14,Ditzy Doo,Development,Task #293533: Merkzettel ViewControl-Erweiterung,"",7.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-14,Applejack,Development,Task #290821: Libov Import,"22-24 Uhr; JavaScript-Import erfolgreich, Bugfixing (Parser, Kontextmenü)",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-14,Fluttershy,Development,Task #287246: USB ,12:00 -15:00 Uhr; PDF auf USB stick schreiben; momentan per File.Copy(); da der Streamwriter in C# die PDF beschädigt hat ,3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-14,Applejack,Development,Task #285084: Merkzettel-Bearbeitung,"12:40-17:10 Uhr; Aktualisierung Merkzettel (Anpassung an neue Objekte), Versuch Bücher auf Notizzettel-Oberfläche sichtbar zu machen",4.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-13,Applejack,Development,Task #290821: Libov Import,"22-4:30 Uhr; XAML-Parser mit PHP und Konvertierung zu JavaScript-Code (akt. Problem: JS-Code wird nicht ausgeführt, obwohl nicht fehlerhaft)",6.30,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-12,Applejack,Development,Task #233102: Libov,19-22 Uhr; Regex für Musterkennung / Überprüfung ,3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-10,Fluttershy,Development,Task #287246: USB ,"11:00 - 13:00; Recherche USB rechte Vergabe, nur write; Autoplay abschalten Windows, Ergebnis Gast User mit eingeschrenkten rechten ",2.00,""
