Project,Date,User,Activity,Issue,Comment,Hours,Sequencing
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-24,Twilight Sparkle,Development,Task #230404: Kusan: Projektplanung / Erstellung des Pflichtenheftes,"",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-24,Twilight Sparkle,Development,Task #230401: Johr: Projektplanung / Erstellung des Pflichtenheftes,"",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-23,Twilight Sparkle,Development,Task #229752: Scrollen und Verschieben eines Elementes in den Griff bekommen: Erfolg,Fertiggestellt: Von 21:30 - 24:00,2.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-16,Twilight Sparkle,Development,Task #227534: Integration in Breeze-Framework-Beispiel und PDF-Übertragung,Fertiggestellt. Integration ist durch Einfügen des von Christoph vorbereiteten WinForms-Prototypen einfach gewesen.,2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-13,Twilight Sparkle,Development,Task #227247: Integration eines PDF Readers (MoonPDF),"",5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-12,Twilight Sparkle,Development,Task #225135: Planung Meilensteine,"",8.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-10-12,Twilight Sparkle,Development,Task #225072: Nico Schulz Gestures in TUIO erfragen,"Die Verwendete Technologie für das Memoria-Prjekt war MT4J. TUIO sendet nur Touch-Soignale. Die Frameworks (z.b. MT4J) erkennen die Gesten. MT4J eigenete sich für das Projekt, da außer Kreisen für das Spiel nichts benötigt wurde.",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-09-28,Twilight Sparkle,Planning,Task #222665: uniTUIO,"14:00 - 19:00 Schwierigkeiten: Lizenzprobleme, fehlendes Know How",5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-09-27,Twilight Sparkle,Development,Task #221211: Redmine Tutorial durcharbeiten / Redmine einrichten,"",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-09-27,Twilight Sparkle,Development,Task #221205: Team Administration,"",5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-09-27,Twilight Sparkle,Development,Task #221194: Einladung Projekttreffen / Mitglieder informieren,"",1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-09-27,Twilight Sparkle,Development,Task #221186: Kontaktdaten zusammentragen.,"",3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-09-27,Twilight Sparkle,Development,Task #221185: Google Drive einrichten,"",3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-16,Applejack,Development,Task #279154: Korrekturlesen und Strukturierung,"12:45-19:15 Uhr, letztes Korrekturlesen",6.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-14,Applejack,Development,Task #279154: Korrekturlesen und Strukturierung,"3:15-6:30, Sichtung/Korrektur/Formatierung/Strukturierung - Dokumente von Alex L",3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-14,Applejack,Development,Task #279154: Korrekturlesen und Strukturierung,"1:30-3:30 Uhr, Korrektur und Formatierung der Texte von A. Johr",2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-11,Applejack,Development,Task #279154: Korrekturlesen und Strukturierung,20:18-22:38 Uhr,2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-09,Applejack,Development,Task #279156: Meilensteine & Ticketstrukturierung,"9.3.: 22:30-23 Uhr, 11.3.: 1:20- 1:50 Uhr",1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-27,Applejack,Development,Task #238030: Wikibearbeitung,20-21:30 Uhr,1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-27,Applejack,Development,Task #241578: LibovExport,"18-19 Uhr, Export mit JavaScript",1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-22,Applejack,Development,Task #233102: Libov,"17-18 Uhr, bugfixes",1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-22,Applejack,Development,Task #241578: LibovExport,"19-20 Uhr, HTMLParser mit Python zum Laufen gebracht",1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-20,Applejack,Development,Task #233102: Libov,"12-14, 16-18, 21-22 Uhr; Bug-Bekämpfung",5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-19,Applejack,Development,Task #257822: Libov,16-18 Uhr,2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-11,Applejack,Development,Task #253940: Zwischenpräsentation,Präsentation am 11.12.13,3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-10,Applejack,Development,Task #253940: Zwischenpräsentation,s. Task-Beschreibung,3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-27,Applejack,Development,Task #244001: Inhalt zusammentragen - C. Kusan,13:00-15:00,2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-26,Applejack,Development,Task #242477: Science Slam - C. Kusan,15:00-19:00 Beaufsichtigung und Präsentation des akt. Projektstandes,4.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-25,Applejack,Development,Task #241578: LibovExport,Dokumentation für JavaScript mit Doxygen und Eintrag ins Wiki,2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-24,Applejack,Development,Task #241578: LibovExport,"Versuch html5lib einzubinden, Ausweichen auf Python",4.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-23,Applejack,Development,Task #241578: LibovExport,Google Dart - Datei einlesen,1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-21,Applejack,Development,Task #238030: Wikibearbeitung,"",1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-21,Applejack,Development,Task #238030: Wikibearbeitung,"",2.00,""
